time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
66,32.55577153,7.318277037,15.03343752,34.47293007,35.31992143,10.22563606,16.82486849,15.08769443,12.30691013,4.695731087,0.082325211,0.165861472
67,32.77354065,6.141071071,16.21625012,24.75062224,28.54624595,13.96922969,13.55900233,15.7986768,12.216055,3.827590842,0.045711486,0.132014313
68,34.87220257,6.591109486,15.37287139,29.4563094,28.57396758,12.94983407,18.0054504,12.92875741,12.88297034,5.15254023,0.143127579,0.167544759
69,35.85221703,8.438006983,16.27666871,29.32875196,35.69546072,13.15187756,17.68959724,16.74903356,9.377783264,5.292947956,0.002411643,0.1639881
70,30.50296924,7.895553611,11.91056617,31.59584287,37.19827901,14.59007903,16.06736328,14.13244165,9.584441421,4.608271683,0.001904996,0.190163653
71,35.12825595,7.743726229,18.21148122,28.75067826,33.05548085,18.3771028,19.03391408,14.18872804,13.37123476,4.258507131,0.002039243,0.152772298
72,37.50942655,7.959663537,16.28053896,28.58669435,34.9133306,11.44670489,18.75894974,10.61762252,10.46986402,5.110078663,0.002055233,0.164505523
73,36.66905298,11.91525715,18.13748915,28.45340613,39.16840654,14.7437131,22.22245614,21.8577977,12.69557675,4.470560415,0,0.175109274
74,44.13578104,13.17887701,18.07752325,32.77669173,35.15758843,16.82205179,20.46846272,23.36579702,13.37156448,5.171810458,0,0.130055421
75,47.26829365,12.28123495,17.94869118,23.48709069,38.19480803,17.49678846,22.93294121,21.59403669,12.47750101,4.534346448,0,0.224996108
76,38.85065948,12.21760658,19.27549523,25.18663303,38.84853181,15.48484631,18.63395045,21.62595473,10.70827223,4.710367097,0,0.190450519
77,46.21955183,18.59167136,19.8258899,12.33357084,47.27136887,16.75925295,22.12311239,27.67580247,13.75299527,3.932773379,0,0.161014951
78,44.61250359,19.26564953,19.31765348,14.03624554,44.09843284,17.71583671,27.76103373,29.67007433,13.17016908,3.636615261,0,0.242222536
79,41.82865952,18.73498206,14.16320314,13.60236707,41.29169168,23.33962386,22.73921373,29.86594419,16.554242,4.206631509,0,0.18681439
80,42.55341264,19.92726244,16.64124444,11.04022392,37.62882207,18.4046523,26.59634803,28.60637944,16.12167481,2.96112053,0,0.156373874
