time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
38;31.66750587;7.003078276;17.6577418;36.41481349;33.71104816;12.4127095;14.51247166;17.09915612;16.9805134;4.400510204;4.124930667;1.347903894;5.29732254;10.92444405;3.804724965;1.587101966;1.549400449;1.570742173;5.094154019;1.320153061;0.33535515;0.148919773;0.116766667;0.16697216
39;31.66750587;7.003078276;17.6577418;36.41481349;33.71104816;12.4127095;14.51247166;17.09915612;16.9805134;4.400510204;4.124930667;1.347903894;5.29732254;10.92444405;3.804724965;1.587101966;1.549400449;1.570742173;5.094154019;1.320153061;0.387339517;0.148919773;0.116766667;0.16697216
40;31.66750587;7.003078276;17.6577418;36.41481349;33.71104816;12.4127095;14.51247166;17.09915612;16.9805134;4.400510204;4.124930667;1.347903894;5.29732254;10.92444405;3.804724965;1.587101966;1.549400449;1.570742173;5.094154019;1.320153061;0.310885776;0.148919773;0.116766667;0.16697216
41;31.08006042;6.711741425;18.60730594;36.69655667;34.58451369;12.55819367;17.23792081;15.01054852;17.18193742;4.570578231;3.223851387;1.32220778;5.582191781;11.008967;3.664950423;1.959631173;2.360966004;2.477087447;5.154581225;1.371173469;0.411072204;0.17727223;0.147366667;0.215782535
42;31.08006042;6.711741425;18.60730594;36.69655667;34.58451369;12.55819367;17.23792081;15.01054852;17.18193742;4.570578231;3.223851387;1.32220778;5.582191781;11.008967;3.664950423;1.959631173;2.360966004;2.477087447;5.154581225;1.371173469;0.488162791;0.17727223;0.147366667;0.215782535
43;31.08006042;6.711741425;18.60730594;36.69655667;34.58451369;12.55819367;17.23792081;15.01054852;17.18193742;4.570578231;3.223851387;1.32220778;5.582191781;11.008967;3.664950423;1.959631173;2.360966004;2.477087447;5.154581225;1.371173469;0.401735922;0.17727223;0.147366667;0.215782535
44;31.08006042;6.711741425;18.60730594;36.69655667;34.58451369;12.55819367;17.23792081;15.01054852;17.18193742;4.570578231;3.223851387;1.32220778;5.582191781;11.008967;3.664950423;1.959631173;2.360966004;2.477087447;5.154581225;1.371173469;0.54263241;0.17727223;0.147366667;0.215782535
45;32.01577711;7.354881266;19.00684932;35.05888331;36.54390935;12.80260708;19.02145474;14.05590717;18.27805883;4.900085034;3.475391629;2.025539718;5.702054795;10.51766499;4.368548558;2.219371602;2.501961955;2.873174989;5.48341765;1.47002551;0.543001826;0.189572565;0.168666667;0.229408886
46;32.01577711;7.354881266;19.00684932;35.05888331;36.54390935;12.80260708;19.02145474;14.05590717;18.27805883;4.900085034;3.475391629;2.025539718;5.702054795;10.51766499;4.368548558;2.219371602;2.501961955;2.873174989;5.48341765;1.47002551;0.514321982;0.189572565;0.168666667;0.229408886
47;32.01577711;7.354881266;19.00684932;35.05888331;36.54390935;12.80260708;19.02145474;14.05590717;18.27805883;4.900085034;3.475391629;2.025539718;5.702054795;10.51766499;4.368548558;2.219371602;2.501961955;2.873174989;5.48341765;1.47002551;0.509410862;0.189572565;0.168666667;0.229408886
48;32.01577711;7.354881266;19.00684932;35.05888331;36.54390935;12.80260708;19.02145474;14.05590717;18.27805883;4.900085034;3.475391629;2.025539718;5.702054795;10.51766499;4.368548558;2.219371602;2.501961955;2.873174989;5.48341765;1.47002551;0.558603482;0.189572565;0.168666667;0.229408886
49;33.14031554;8.520228672;17.94312993;25.7643472;38.69216242;14.70554004;20.39508111;17.80590717;13.9778902;5.102040816;3.238324566;2.556068602;5.382938979;7.729304161;4.518169379;2.430198101;2.697141528;3.228760894;4.19336706;1.530612245;0.529388945;0.203784132;0.174766667;0.232812294
50;33.14031554;8.520228672;17.94312993;25.7643472;38.69216242;14.70554004;20.39508111;17.80590717;13.9778902;5.102040816;3.238324566;2.556068602;5.382938979;7.729304161;4.518169379;2.430198101;2.697141528;3.228760894;4.19336706;1.530612245;0.464575583;0.203784132;0.174766667;0.232812294
51;33.14031554;8.520228672;17.94312993;25.7643472;38.69216242;14.70554004;20.39508111;17.80590717;13.9778902;5.102040816;3.238324566;2.556068602;5.382938979;7.729304161;4.518169379;2.430198101;2.697141528;3.228760894;4.19336706;1.530612245;0.476120308;0.203784132;0.174766667;0.232812294
52;33.14031554;8.520228672;17.94312993;25.7643472;38.69216242;14.70554004;20.39508111;17.80590717;13.9778902;5.102040816;3.238324566;2.556068602;5.382938979;7.729304161;4.518169379;2.430198101;2.697141528;3.228760894;4.19336706;1.530612245;0.54474263;0.203784132;0.174766667;0.232812294
53;30.21148036;8.16292876;17.31527605;19.25741272;35.44224111;13.11685289;19.34850863;16.32383966;16.94303916;4.809736395;3.066208794;2.349672145;5.194582814;5.777223816;4.177103332;2.750349105;3.616200164;3.278998813;5.082911748;1.442920918;0.534989186;0.202925319;0.186566667;0.251007444
