time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,load_user11,pv,wind
68,1.363549,0.636489,2.36095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.143127579,0.167544759
69,1.363549,0.636489,2.36095,0.341143,0.294593,0.504386,0.504386,0.573422,0.303303,0.348236,0.721402,0.002411643,0.1639881
70,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.001904996,0.190163653
71,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.002039243,0.152772298
72,1.363549,0.636489,2.36095,0.297125,0.26186,0.439304,0.439304,0.499432,0.269602,0.303303,0.499432,0.002055233,0.164505523
73,1.11104,1.485141,2.36095,0.407171,0.370968,0.602009,0.602009,0.684407,0.381937,0.415637,0.499432,0,0.175109274
74,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.130055421
75,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.224996108
76,0.984785,1.909467,2.36095,0.462194,0.425523,0.683361,0.683361,0.776894,0.438104,0.471804,0.776894,0,0.190450519
77,0.449466,1.909467,3.934916,0.550231,0.490988,0.813525,0.813525,0.924874,0.505505,0.561672,0.776894,0,0.161014951
78,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.242222536
79,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.18681439
80,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.156373874
81,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.232934099
82,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.226228241
83,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.216709351
84,0.181806,1.909467,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.179146924
85,0.181806,0.721354,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.197837405
86,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.241061196
87,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.159593301
88,0.181806,0.127298,4.7219,0.594249,0.52372,0.878607,0.878607,0.998864,0.539205,0.606605,0.998864,0,0.19688824
89,0.181806,0.127298,3.934916,0.308129,0.272771,0.455574,0.455574,0.51793,0.280836,0.314536,0.998864,0,0.21609445
90,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.215044674
91,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.268433907
92,0.181806,0.127298,3.541425,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.16068952
93,0.181806,0.127298,1.967458,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.193090823
94,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.157196399
95,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.228759304
96,0.181806,0.127298,1.180475,0.165069,0.147296,0.244057,0.244057,0.277462,0.151651,0.168502,0.277462,0,0.209447643
97,0.353513,0.212163,0.550888,0.099042,0.081831,0.146435,0.146435,0.166477,0.084251,0.101101,0.277462,0,0.231923653
98,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.188546181
99,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.202504094
100,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.183055693
101,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.156070501
102,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.20472306
103,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.225641015
104,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.166275639
105,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.121463609
106,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.168791661
107,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.114946242
108,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.223600514
109,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.224732532
110,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.155043073
111,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.214174963
